date,HPG_simple_return,FPT_simple_return,MWG_simple_return,portfolio_simple_return,portfolio_log_return
2020-01-03,0.006775067750677488,-0.017224880382775143,-0.01458046767537835,-0.008343426769158668,-0.008378427976929177
2020-01-06,-0.006729475100942128,-0.010223953261928043,-0.005025125628140725,-0.007326184663670298,-0.007353152951702802
2020-01-07,-0.012195121951219523,0.01918347270044274,0.007856341189674598,0.004948230646299271,0.004936028389533918
2020-01-08,-0.010973936899862813,-0.0222007722007721,-0.02422048997772841,-0.019131733026121107,-0.01931711286403206
2020-01-09,0.023578363384188616,0.01382033563672258,0.015121255349500817,0.017506651456804002,0.01735517537153056
2023-04-12,-0.002135231316726105,0.0,0.0012879958784131063,-0.0002824118127709996,-0.00028245169849663935
2023-04-13,-0.014265335235377985,-0.008727420336918978,0.007460766658091034,-0.005177329638068643,-0.005190778448525384
2023-04-14,0.009406657018813158,0.0,-0.025536261491317713,-0.005376534824168184,-0.005391040404058503
2023-04-17,0.01003584229390686,0.0,-0.0039308176100628645,0.0020350082279479986,0.0020329404035885853
2023-04-18,0.004258339247693366,-0.002457002457002533,0.0026308866087871863,0.0014774077998260062,0.0014763175066621545
2026-07-22,-0.004807692307692402,-0.0030864197530864335,-0.06984211934706985,-0.02591207713594956,-0.026253709532727203
2026-07-23,0.004830917874396157,0.0015479876160993111,0.012658227848101333,0.0063457111128656,0.006325661861239579
2026-07-24,0.0,-0.02782071097372496,-0.04886363636363655,-0.025561449112453838,-0.02589381909038169
2026-07-27,-0.021634615384615308,-0.0111287758346581,-0.06914575866188766,-0.033969716627053684,-0.034560096013640004
2026-07-28,0.03194103194103182,0.012861736334405016,0.030001604363869783,0.02493479087976887,0.024628991912735078
