target_date,target_return,quantile_return,historical_var
2021-01-19,-0.0608832920540696,-0.037727837845406474,0.037727837845406474
2021-01-28,-0.0695517587116434,-0.03619437222153429,0.03619437222153429
2021-04-22,-0.0244752212588229,-0.024061963628071354,0.024061963628071354
2021-04-26,-0.0269771900909651,-0.024782456398744823,0.024782456398744823
2021-06-08,-0.0249624033279883,-0.024782456398744823,0.024782456398744823
2023-10-03,-0.0398765429937311,-0.0350936498034775,0.0350936498034775
2023-10-17,-0.0310406581756293,-0.03023716869623027,0.03023716869623027
2023-10-26,-0.0439282546408036,-0.02844982917499895,0.02844982917499895
2023-10-31,-0.0308128641043745,-0.03023716869623027,0.03023716869623027
2023-11-23,-0.0455359238893177,-0.024504602310747102,0.024504602310747102
2026-03-23,-0.034914847962245,-0.027020197746921458,0.027020197746921458
2026-07-20,-0.0250602476819062,-0.023371830483482417,0.023371830483482417
2026-07-22,-0.0259120771359495,-0.02463494265531399,0.02463494265531399
2026-07-24,-0.0255614491124538,-0.0250739158395247,0.0250739158395247
2026-07-27,-0.0339697166270536,-0.025347091506758873,0.025347091506758873
