target_date,ewma_violation,gb_violation,historical_violation,actual_return,violation_method_count,exception_category,calendar_month,target_position,cluster_id
2025-04-23,False,False,False,0.0153735522862222,0,no_violation,2025-04,83,
2025-04-24,False,False,False,0.0105876465941865,0,no_violation,2025-04,84,
2025-04-25,False,False,False,0.0069145986815193,0,no_violation,2025-04,85,
2025-04-28,False,False,False,-0.0069040108458571,0,no_violation,2025-04,86,
2025-04-29,False,False,False,-0.0029867399941777,0,no_violation,2025-04,87,
2025-05-05,False,False,False,0.0012869677891865,0,no_violation,2025-05,88,
2025-05-06,False,False,False,-0.0024534062738862,0,no_violation,2025-05,89,
2025-05-07,False,False,False,-0.0029182411309528,0,no_violation,2025-05,90,
2025-05-08,False,False,False,0.0189353442472855,0,no_violation,2025-05,91,
2025-05-09,False,False,False,0.0049988438436587,0,no_violation,2025-05,92,
2025-05-12,False,False,False,0.0055171316291288,0,no_violation,2025-05,93,
2025-05-13,False,False,False,0.023473702115781,0,no_violation,2025-05,94,
2025-05-14,False,False,False,0.0260634945661907,0,no_violation,2025-05,95,
2025-05-15,False,False,False,-0.0018069261776133,0,no_violation,2025-05,96,
2025-05-16,False,False,False,-0.0177478453445079,0,no_violation,2025-05,97,
2025-05-19,False,False,False,-0.0101714581129919,0,no_violation,2025-05,98,
2025-05-20,False,False,False,0.0080428972432277,0,no_violation,2025-05,99,
2025-05-21,False,False,False,-0.0032844551075017,0,no_violation,2025-05,100,
2025-05-22,False,False,False,-0.0054689954004176,0,no_violation,2025-05,101,
2025-05-23,False,False,False,-0.0003518991569269,0,no_violation,2025-05,102,
2025-05-26,False,False,False,0.0013913918504792,0,no_violation,2025-05,103,
2025-05-27,False,False,False,0.003848714314649,0,no_violation,2025-05,104,
2025-05-28,False,False,False,-0.0005138676741144,0,no_violation,2025-05,105,
2025-05-29,False,False,False,-0.0048252030033552,0,no_violation,2025-05,106,
2025-05-30,False,False,False,-0.0105191343363331,0,no_violation,2025-05,107,
2025-06-02,False,False,False,-0.0096845642597274,0,no_violation,2025-06,108,
2025-06-03,False,False,False,0.0171999523767172,0,no_violation,2025-06,109,
2025-06-04,False,False,False,-0.0072491301605031,0,no_violation,2025-06,110,
2025-06-05,False,False,False,-0.0012861149178928,0,no_violation,2025-06,111,
2025-06-06,False,False,False,-0.0077431603996217,0,no_violation,2025-06,112,
2025-06-09,False,False,False,0.006748233748107,0,no_violation,2025-06,113,
2025-06-10,False,False,False,0.0027104888102501,0,no_violation,2025-06,114,
2025-06-11,False,False,False,0.0073091096662791,0,no_violation,2025-06,115,
2025-06-12,False,False,False,0.0178351277987688,0,no_violation,2025-06,116,
2025-06-13,False,False,False,-0.0111508595972082,0,no_violation,2025-06,117,
2025-06-16,False,False,False,0.0206050485563378,0,no_violation,2025-06,118,
2025-06-17,False,False,False,0.0012612183180161,0,no_violation,2025-06,119,
2025-06-18,False,False,False,-0.0049745407367636,0,no_violation,2025-06,120,
2025-06-19,False,False,False,-0.0044265777464665,0,no_violation,2025-06,121,
2025-06-20,False,False,False,0.0021412962676451,0,no_violation,2025-06,122,
2025-06-23,False,False,False,0.0023127441040993,0,no_violation,2025-06,123,
2025-06-24,False,False,False,0.0030360365310437,0,no_violation,2025-06,124,
2025-06-25,False,False,False,0.0047387677853844,0,no_violation,2025-06,125,
