forecast_date,target_date,target_return,historical_quantile,historical_var,historical_violation,historical_exceedance,ewma_quantile,ewma_var,ewma_violation,ewma_exceedance,both_violation,historical_only,ewma_only,exception_type
2020-12-30,2020-12-31,0.0146338918849512,-0.0377278378454064,0.0377278378454064,False,0.0,-0.01968117022575932,0.01968117022575932,False,0.0,False,False,False,none
2020-12-31,2021-01-04,0.0178747748595694,-0.0377278378454064,0.0377278378454064,False,0.0,-0.019971760316218116,0.019971760316218116,False,0.0,False,False,False,none
2021-01-04,2021-01-05,0.0179051953982352,-0.0377278378454064,0.0377278378454064,False,0.0,-0.02065926996321747,0.02065926996321747,False,0.0,False,False,False,none
2021-01-05,2021-01-06,0.0002951274443642,-0.0377278378454064,0.0377278378454064,False,0.0,-0.021289440984971854,0.021289440984971854,False,0.0,False,False,False,none
2021-01-06,2021-01-07,-0.0008945534329241,-0.0377278378454064,0.0377278378454064,False,0.0,-0.02064122134974981,0.02064122134974981,False,0.0,False,False,False,none
2021-01-07,2021-01-08,0.0066388034731389,-0.0377278378454064,0.0377278378454064,False,0.0,-0.02001565188617411,0.02001565188617411,False,0.0,False,False,False,none
2021-01-08,2021-01-11,0.0216773439928022,-0.0377278378454064,0.0377278378454064,False,0.0,-0.01958936807838649,0.01958936807838649,False,0.0,False,False,False,none
2021-01-11,2021-01-12,0.0201152723968048,-0.0377278378454064,0.0377278378454064,False,0.0,-0.02090454517706395,0.02090454517706395,False,0.0,False,False,False,none
2021-01-12,2021-01-13,0.0019808694385597,-0.0377278378454064,0.0377278378454064,False,0.0,-0.021828048634598415,0.021828048634598415,False,0.0,False,False,False,none
2021-01-13,2021-01-14,0.002151845275711,-0.0377278378454064,0.0377278378454064,False,0.0,-0.021178122025955724,0.021178122025955724,False,0.0,False,False,False,none
2021-01-14,2021-01-15,0.001127910873047,-0.0377278378454064,0.0377278378454064,False,0.0,-0.02055124698117931,0.02055124698117931,False,0.0,False,False,False,none
2021-01-15,2021-01-18,-0.0043703463797974,-0.0377278378454064,0.0377278378454064,False,0.0,-0.019930354841439474,0.019930354841439474,False,0.0,False,False,False,none
2021-01-18,2021-01-19,-0.0608832920540696,-0.0377278378454064,0.0377278378454064,True,0.023155454208663204,-0.019403258553276174,0.019403258553276174,True,0.04148003350079343,True,False,False,both
2021-01-19,2021-01-20,0.0155430121266891,-0.0383364170141017,0.0383364170141017,False,0.0,-0.03091322931950497,0.03091322931950497,False,0.0,False,False,False,none
2021-01-20,2021-01-21,0.0380519682434995,-0.0383364170141017,0.0383364170141017,False,0.0,-0.030618740041786618,0.030618740041786618,False,0.0,False,False,False,none
2021-01-21,2021-01-22,0.0083797380282797,-0.0381251882202617,0.0381251882202617,False,0.0,-0.033411175932478054,0.033411175932478054,False,0.0,False,False,False,none
2021-01-22,2021-01-25,0.0134321495494272,-0.0361943722215342,0.0361943722215342,False,0.0,-0.03256880829520679,0.03256880829520679,False,0.0,False,False,False,none
2021-01-25,2021-01-26,-0.0157809553335502,-0.0361943722215342,0.0361943722215342,False,0.0,-0.03203704285897094,0.03203704285897094,False,0.0,False,False,False,none
2021-01-26,2021-01-27,-0.0271330394670649,-0.0361943722215342,0.0361943722215342,False,0.0,-0.03170515518911862,0.03170515518911862,False,0.0,False,False,False,none
2021-01-27,2021-01-28,-0.0695517587116434,-0.0361943722215342,0.0361943722215342,True,0.0333573864901092,-0.0326253492896581,0.0326253492896581,True,0.0369264094219853,True,False,False,both
2021-01-28,2021-01-29,0.0608412469313632,-0.0381251882202617,0.0381251882202617,False,0.0,-0.042259011085523414,0.042259011085523414,False,0.0,False,False,False,none
2021-01-29,2021-02-01,-0.0252080721015111,-0.0381251882202617,0.0381251882202617,False,0.0,-0.04774488728714069,0.04774488728714069,False,0.0,False,False,False,none
2021-02-01,2021-02-02,0.0434258232686585,-0.0381251882202617,0.0381251882202617,False,0.0,-0.04739149246680374,0.04739149246680374,False,0.0,False,False,False,none
2021-02-02,2021-02-03,0.0311988721672703,-0.0381251882202617,0.0381251882202617,False,0.0,-0.04916628438972574,0.04916628438972574,False,0.0,False,False,False,none
2021-02-03,2021-02-04,0.0131204091730265,-0.0381251882202617,0.0381251882202617,False,0.0,-0.049298009477161994,0.049298009477161994,False,0.0,False,False,False,none
2021-02-04,2021-02-05,0.0125387296210471,-0.0381251882202617,0.0381251882202617,False,0.0,-0.04808763752772773,0.04808763752772773,False,0.0,False,False,False,none
