target_date,actual_return,historical_quantile_return,historical_var,historical_violation,historical_pinball_loss,ewma_quantile_return,ewma_var,ewma_violation,ewma_pinball_loss,gb_quantile_return,gb_var,gb_violation,gb_pinball_loss,gb_minus_historical_pinball,gb_minus_ewma_pinball,ewma_minus_historical_pinball,gb_minus_historical_var,gb_minus_ewma_var,ewma_minus_historical_var,abs_gb_historical_quantile_diff,abs_gb_ewma_quantile_diff,abs_ewma_historical_quantile_diff,lowest_pinball_loss,lowest_pinball_method
2024-12-18,0.0053839193988423,-0.017411337966226,0.017411337966226,False,0.001139762868253415,-0.0193836441823072,0.0193836441823072,False,0.001238378179057475,-0.0203551312184753,0.0203551312184753,False,0.00128695253086588,0.00014718966261246494,4.8574351808404904e-05,9.861531080406004e-05,0.002943793252249298,0.0009714870361680998,0.001972306216081198,0.002943793252249298,0.0009714870361680998,0.001972306216081198,0.001139762868253415,historical_simulation
2024-12-19,-0.0096222754623089,-0.0170883852278305,0.0170883852278305,False,0.00037330548827607993,-0.0189179171818529,0.0189179171818529,False,0.0004647820859772,-0.0189766316042724,0.0189766316042724,False,0.000467717807098175,9.441231882209507e-05,2.9357211209750248e-06,9.147659770112005e-05,0.0018882463764419016,5.871442241950006e-05,0.0018295319540224016,0.0018882463764419016,5.871442241950006e-05,0.0018295319540224016,0.00037330548827607993,historical_simulation
2024-12-20,0.0057387052263465,-0.0170883852278305,0.0170883852278305,False,0.00114135452270885,-0.0187468508436072,0.0187468508436072,False,0.0012242778034976852,-0.0188628363572784,0.0188628363572784,False,0.001230077079181245,8.872255647239514e-05,5.799275683559873e-06,8.292328078883526e-05,0.0017744511294479001,0.00011598551367119833,0.0016584656157767018,0.0017744511294479001,0.00011598551367119833,0.0016584656157767018,0.00114135452270885,historical_simulation
2024-12-23,0.0065665132266042,-0.0170883852278305,0.0170883852278305,False,0.001182744922721735,-0.0183222217192625,0.0183222217192625,False,0.001244436747293335,-0.018710889279556,0.018710889279556,False,0.0012638701253080101,8.112520258627505e-05,1.9433378014675025e-05,6.169182457160002e-05,0.0016225040517255027,0.00038866756029350136,0.0012338364914320013,0.0016225040517255027,0.00038866756029350136,0.0012338364914320013,0.001182744922721735,historical_simulation
2024-12-24,-0.0006998830027437,-0.0170883852278305,0.0170883852278305,False,0.00081942511125434,-0.0179599892949441,0.0179599892949441,False,0.00086300531461002,-0.0231860754811971,0.0231860754811971,False,0.00112430962392267,0.00030488451266833005,0.00026130430931265,4.3580203355680046e-05,0.006097690253366601,0.0052260861862530004,0.0008716040671136009,0.006097690253366601,0.0052260861862530004,0.0008716040671136009,0.00081942511125434,historical_simulation
2024-12-25,0.0113665296215134,-0.0170883852278305,0.0170883852278305,False,0.001422745742467195,-0.0174151387860203,0.0174151387860203,False,0.0014390834203766851,-0.0192043065657659,0.0192043065657659,False,0.0015285418093639652,0.00010579606689677026,8.945838898728005e-05,1.633767790949021e-05,0.0021159213379354017,0.0017891677797455992,0.0003267535581898025,0.0021159213379354017,0.0017891677797455992,0.0003267535581898025,0.001422745742467195,historical_simulation
2024-12-26,-0.0077762282713583,-0.0170883852278305,0.0170883852278305,False,0.00046560784782360997,-0.0174946529797765,0.0174946529797765,False,0.00048592123542091,-0.0232470887984041,0.0232470887984041,False,0.0007735430263522899,0.00030793517852867997,0.00028762179093137996,2.0313387597300006e-05,0.0061587035705736,0.0057524358186276,0.00040626775194600034,0.0061587035705736,0.0057524358186276,0.00040626775194600034,0.00046560784782360997,historical_simulation
2024-12-27,-0.0028345582539053,-0.0170883852278305,0.0170883852278305,False,0.0007126913486962599,-0.0172486323577167,0.0172486323577167,False,0.0007207037051905701,-0.0188749510200228,0.0188749510200228,False,0.000802019638305875,8.932828960961511e-05,8.131593311530496e-05,8.01235649431015e-06,0.0017865657921923017,0.0016263186623061004,0.00016024712988620127,0.0017865657921923017,0.0016263186623061004,0.00016024712988620127,0.0007126913486962599,historical_simulation
2024-12-30,-0.0015059929044343,-0.0170883852278305,0.0170883852278305,False,0.00077911961616981,-0.0167621208755151,0.0167621208755151,False,0.00076280639855404,-0.0191762640101151,0.0191762640101151,False,0.0008835135552840402,0.00010439393911423011,0.00012070715673000013,-1.6313217615770027e-05,0.002087878782284603,0.002414143134600002,-0.0003262643523153988,0.002087878782284603,0.002414143134600002,0.0003262643523153988,0.00076280639855404,ewma
2024-12-31,0.0032454829990041,-0.0170883852278305,0.0170883852278305,False,0.00101669341134173,-0.0162628025628588,0.0162628025628588,False,0.000975414278093145,-0.0188081175721827,0.0188081175721827,False,0.00110268002855934,8.598661721761006e-05,0.00012726575046619493,-4.127913324858488e-05,0.0017197323443522011,0.0025453150093238987,-0.0008255826649716975,0.0017197323443522011,0.0025453150093238987,0.0008255826649716975,0.000975414278093145,ewma
2025-01-02,0.0010889770833526,-0.0170883852278305,0.0170883852278305,False,0.000908868115559155,-0.0158215011195272,0.0158215011195272,False,0.0008455239101439901,-0.0191023791156136,0.0191023791156136,False,0.00100956780994831,0.00010069969438915511,0.00016404389980432003,-6.334420541516492e-05,0.0020139938877831026,0.0032808779960864023,-0.0012668841083032997,0.0020139938877831026,0.0032808779960864023,0.0012668841083032997,0.0008455239101439901,ewma
2025-01-03,-0.0225400795601517,-0.0170883852278305,0.0170883852278305,True,0.005179109615705142,-0.0153457880006298,0.0153457880006298,True,0.006834576981545804,-0.0230743688659331,0.0230743688659331,False,2.6714465289070025e-05,-0.005152395150416072,-0.006807862516256734,0.0016554673658406623,0.005985983638102602,0.0077285808653033,-0.0017425972272006977,0.005985983638102602,0.0077285808653033,0.0017425972272006977,2.6714465289070025e-05,gradient_boosting
2025-01-06,-0.0153320590992005,-0.017411337966226,0.017411337966226,False,0.00010396394335127502,-0.0174309362875484,0.0174309362875484,False,0.00010494385941739494,-0.0271711445291716,0.0271711445291716,False,0.000591954271498555,0.00048799032814727996,0.00048701041208116006,9.799160661199248e-07,0.0097598065629456,0.0097402082416232,1.9598321322398388e-05,0.0097598065629456,0.0097402082416232,1.9598321322398388e-05,0.00010396394335127502,historical_simulation
