method,forecast_count,violation_count,violation_rate,pinball_loss,average_var,minimum_var,maximum_var,total_runtime_seconds,test_start,test_end,config_id
historical_simulation,398,27,0.0678391959798995,0.0018964642326659775,0.021330189279201585,0.017088385227830519,0.027020197746921468,0.28184160008095205,2024-12-18,2026-07-28,historical_w250
ewma,398,22,0.055276381909547742,0.0019683212526850121,0.025084042489536107,0.014005656462523988,0.056446630577662971,0.44581960001960397,2024-12-18,2026-07-28,ewma_d094
gradient_boosting,398,24,0.06030150753768844,0.0017581309509574873,0.023349057036283791,0.01374247307033119,0.048139015621043925,106.31328299990855,2024-12-18,2026-07-28,gb_G04
