experiment_id,decay,forecast_count,violation_count,violation_rate,pinball_loss,average_var,minimum_var,maximum_var,validation_start,validation_end
B04,0.9,739,40,0.05412719892,0.001910811794,0.0254261317,0.009900865,0.06043165193,2021-12-31,2024-12-17
B05,0.94,739,43,0.05818673884,0.001929922933,0.02580969253,0.01143839905,0.05666074912,2021-12-31,2024-12-17
B06,0.97,739,43,0.05818673884,0.002000327134,0.02642960194,0.01401685299,0.05039815334,2021-12-31,2024-12-17
