method,forecasts,violations,violation_rate,pinball_loss,average_var,minimum_var,maximum_var,first_target_date,last_target_date
historical,1387,75,0.05407354001441961,0.002057488935366689,0.026231471978343027,0.0170883852278305,0.0437855666388196,2020-12-31,2026-07-28
ewma,1387,73,0.05263157894736842,0.001962062253899366,0.02575468840595491,0.011438399048458,0.0566607491237722,2020-12-31,2026-07-28
