target_date,actual_return,historical_quantile,ewma_quantile,historical_violation,ewma_violation,exception_type
2021-01-19,-0.0608832920540696,-0.0377278378454064,-0.0194032585532761,True,True,both
2021-01-28,-0.0695517587116434,-0.0361943722215342,-0.032625349289658,True,True,both
2021-04-22,-0.0244752212588229,-0.0240619636280713,-0.0258708519121658,True,False,historical_only
2021-04-26,-0.0269771900909651,-0.0247824563987448,-0.0292485155009012,True,False,historical_only
2021-06-08,-0.0249624033279883,-0.0247824563987448,-0.027015490199343,True,False,historical_only
2021-07-06,-0.0643610940462532,-0.0234791189380199,-0.0226142232319695,True,True,both
2021-07-12,-0.0297959603179115,-0.0247431713968638,-0.0363268014540075,True,False,historical_only
2021-07-14,-0.0266686315775071,-0.0250016883298692,-0.0361236042615784,True,False,historical_only
2021-07-19,-0.0484763779497454,-0.025129663427692,-0.0350070976359757,True,True,both
2021-08-20,-0.0348566598553519,-0.0247431713968638,-0.026181112409178,True,True,both
2021-08-23,-0.0285735392121658,-0.0250016883298692,-0.0290095772604678,True,False,historical_only
2021-11-19,-0.0171964644168616,-0.0247431713968638,-0.0159760701022181,False,True,ewma_only
2021-12-03,-0.0205136173440168,-0.0247431713968638,-0.0179378153208812,False,True,ewma_only
2021-12-06,-0.0223717002762268,-0.0247431713968638,-0.0192553952379805,False,True,ewma_only
2022-01-11,-0.0160592689353921,-0.0247431713968638,-0.0148515594603771,False,True,ewma_only
2022-01-17,-0.0296339932787395,-0.0247431713968638,-0.0171965872844827,True,True,both
2022-01-24,-0.0392112447279263,-0.0247431713968638,-0.0190887361117807,True,True,both
2022-03-14,-0.0208819631641027,-0.0218129783987658,-0.0198975236365285,False,True,ewma_only
2022-04-08,-0.025973590828864,-0.0218129783987658,-0.0258440748393907,True,True,both
2022-04-25,-0.0694854382368597,-0.0218129783987658,-0.0232985034856557,True,True,both
2022-05-06,-0.0225351380952641,-0.0218129783987658,-0.0310262292225104,True,False,historical_only
2022-05-09,-0.0585389934656119,-0.0223221823975921,-0.0314214425395684,True,True,both
2022-05-12,-0.0559807548391082,-0.0224615910766973,-0.0388181338204139,True,True,both
2022-05-13,-0.0504911763195255,-0.0238701339732623,-0.0438766666672406,True,True,both
2022-06-13,-0.0569580130322258,-0.0248215851080193,-0.0365354229399197,True,True,both
2022-06-20,-0.0392987139294633,-0.0263558632406176,-0.0417527444880742,True,False,historical_only
2022-09-07,-0.0247836391418192,-0.0226571293186086,-0.0183137349661845,True,True,both
2022-09-16,-0.0217265345413631,-0.0230924706971129,-0.0181317221948904,False,True,ewma_only
2022-09-28,-0.0296056052013146,-0.0230924706971129,-0.0190703354282054,True,True,both
2022-10-03,-0.0602543007172786,-0.0240924562583444,-0.0214314002369017,True,True,both
2022-10-06,-0.0513854342451004,-0.0247225574330735,-0.0308166859827476,True,True,both
2022-10-07,-0.0412946015058279,-0.0254381125696938,-0.036349983026858,True,True,both
