forecast_date,target_date,actual_return,quantile_return,var,violation,method
2026-06-02,2026-06-03,0.0165124334294039,-0.019089140815110324,0.019089140815110324,False,gradient_boosting
2026-06-03,2026-06-04,-0.0049346642432338,-0.025586238900747123,0.025586238900747123,False,gradient_boosting
2026-06-04,2026-06-05,-0.0093289142512601,-0.018524931421591083,0.018524931421591083,False,gradient_boosting
2026-06-05,2026-06-08,-0.0224633589181285,-0.018524931421591083,0.018524931421591083,True,gradient_boosting
2026-06-08,2026-06-09,0.01157675623279,-0.03713642667576242,0.03713642667576242,False,gradient_boosting
2026-06-09,2026-06-10,0.006424498818209,-0.021083723189712314,0.021083723189712314,False,gradient_boosting
2026-06-10,2026-06-11,-0.0147200129579407,-0.02018755049787522,0.02018755049787522,False,gradient_boosting
2026-06-11,2026-06-12,-0.0017636996630776,-0.020191473704657337,0.020191473704657337,False,gradient_boosting
2026-06-12,2026-06-15,0.0300475298744236,-0.02647025840453889,0.02647025840453889,False,gradient_boosting
2026-06-15,2026-06-16,-0.0038649822932476,-0.02066024744526262,0.02066024744526262,False,gradient_boosting
2026-06-16,2026-06-17,-0.0080896444558543,-0.01959643514130001,0.01959643514130001,False,gradient_boosting
2026-06-17,2026-06-18,-0.0098002206034553,-0.019617574738931876,0.019617574738931876,False,gradient_boosting
2026-06-18,2026-06-19,-0.0041383959025294,-0.019171303137660117,0.019171303137660117,False,gradient_boosting
2026-06-19,2026-06-22,-0.0075812208624708,-0.020518131472247618,0.020518131472247618,False,gradient_boosting
2026-06-22,2026-06-23,-0.0085109261797539,-0.022222546690058242,0.022222546690058242,False,gradient_boosting
2026-06-23,2026-06-24,0.0107903140298744,-0.020442091351965713,0.020442091351965713,False,gradient_boosting
2026-06-24,2026-06-25,-0.0030439349546249,-0.021472271686065632,0.021472271686065632,False,gradient_boosting
2026-06-25,2026-06-26,0.0060980923870971,-0.02011980598289359,0.02011980598289359,False,gradient_boosting
2026-06-26,2026-06-29,0.0023574001357367,-0.021721039903593056,0.021721039903593056,False,gradient_boosting
2026-06-29,2026-06-30,-0.0096937075623543,-0.020149103948949455,0.020149103948949455,False,gradient_boosting
2026-06-30,2026-07-01,0.0230722006301461,-0.02014681373528672,0.02014681373528672,False,gradient_boosting
2026-07-01,2026-07-02,-0.0037669230946025,-0.0211602185536725,0.0211602185536725,False,gradient_boosting
2026-07-02,2026-07-03,-0.0064117120064605,-0.01970012373184828,0.01970012373184828,False,gradient_boosting
2026-07-03,2026-07-06,-0.0027418392224901,-0.02095071403086078,0.02095071403086078,False,gradient_boosting
2026-07-06,2026-07-07,-0.0012134941019786,-0.02091134592835252,0.02091134592835252,False,gradient_boosting
2026-07-07,2026-07-08,0.0020251227347604,-0.02080622405646169,0.02080622405646169,False,gradient_boosting
2026-07-08,2026-07-09,-0.0012458650169695,-0.016566523246836187,0.016566523246836187,False,gradient_boosting
2026-07-09,2026-07-10,-0.0186337094307369,-0.021312996545970627,0.021312996545970627,False,gradient_boosting
2026-07-10,2026-07-13,-0.0110681436217607,-0.0164177131937777,0.0164177131937777,False,gradient_boosting
2026-07-13,2026-07-14,0.0040615564704741,-0.029587024211772315,0.029587024211772315,False,gradient_boosting
2026-07-14,2026-07-15,-0.0206777473056235,-0.019779889488638486,0.019779889488638486,True,gradient_boosting
2026-07-15,2026-07-16,0.0051887404908771,-0.021484236078155278,0.021484236078155278,False,gradient_boosting
2026-07-16,2026-07-17,-0.0101572160395689,-0.03108737295321293,0.03108737295321293,False,gradient_boosting
2026-07-17,2026-07-20,-0.0250602476819062,-0.021488489934193302,0.021488489934193302,True,gradient_boosting
2026-07-20,2026-07-21,-0.0050834773294433,-0.03707843284647201,0.03707843284647201,False,gradient_boosting
2026-07-21,2026-07-22,-0.0259120771359495,-0.02926664723208841,0.02926664723208841,False,gradient_boosting
2026-07-22,2026-07-23,0.0063457111128656,-0.02061900528722378,0.02061900528722378,False,gradient_boosting
2026-07-23,2026-07-24,-0.0255614491124538,-0.02249839125231506,0.02249839125231506,True,gradient_boosting
2026-07-24,2026-07-27,-0.0339697166270536,-0.02356767834322847,0.02356767834322847,True,gradient_boosting
2026-07-27,2026-07-28,0.0249347908797688,-0.02140408688428694,0.02140408688428694,False,gradient_boosting
