experiment_id,alpha,max_depth,learning_rate,n_estimators,min_samples_leaf,random_state,feature_count,train_start,train_end,validation_start,validation_end,n_train,n_validation,violations,violation_rate,pinball_loss,average_var,quantile_min,quantile_max,var_min,var_max,runtime_seconds,created_at
G01,0.05,2,0.05,100,5,42,13,2020-04-06,2021-12-30,2021-12-31,2024-12-17,440,739,53,0.07171853856562922,0.002157125101924183,0.02188455423940782,-0.056837453809193764,-0.014191890463759873,0.014191890463759873,0.056837453809193764,0.09149183300905861,2026-08-21T12:16:01.455851+00:00
G05,0.05,2,0.05,50,5,42,13,2020-04-06,2021-12-30,2021-12-31,2024-12-17,440,739,50,0.06765899864682003,0.002113309241824496,0.023124260632525918,-0.057860739086354585,-0.01744999567588092,0.01744999567588092,0.057860739086354585,0.035029082995606586,2026-08-21T12:16:01.491675+00:00
G06,0.05,2,0.05,200,5,42,13,2020-04-06,2021-12-30,2021-12-31,2024-12-17,440,739,61,0.08254397834912043,0.0022242051508693677,0.02098988086850203,-0.0574084574963127,-0.01017972457410599,0.01017972457410599,0.0574084574963127,0.1365831249859184,2026-08-21T12:16:01.629034+00:00
G07,0.05,2,0.1,100,5,42,13,2020-04-06,2021-12-30,2021-12-31,2024-12-17,440,739,69,0.09336941813261164,0.00230689649540761,0.021267365339060464,-0.06184239698600139,-0.008469926454221831,0.008469926454221831,0.06184239698600139,0.06888849998358637,2026-08-21T12:16:01.698670+00:00
