experiment_id,alpha,max_depth,learning_rate,n_estimators,min_samples_leaf,subsample,random_state,validation_rows,validation_start,validation_end,first_train_rows,last_train_rows,violation_count,violation_rate,pinball_loss,average_var,minimum_var,maximum_var,runtime_seconds
G01,0.05,2,0.05,100,5,1.0,42,739,2021-12-31,2024-12-17,440,1178,43,0.058186738836265225,0.002065622434570313,0.02475930730335179,0.011683578300044682,0.06189333553839311,166.1432455999893
G02,0.05,1,0.05,100,5,1.0,42,739,2021-12-31,2024-12-17,440,1178,41,0.05548037889039242,0.0020404825787106915,0.026019723503699924,0.014023779934080898,0.06549047036940311,117.14258609997341
G03,0.05,3,0.05,100,5,1.0,42,739,2021-12-31,2024-12-17,440,1178,51,0.06901217861975643,0.0021202415707357856,0.023299842556922124,0.009918526059735006,0.057581791357162404,246.34689619997516
G04,0.05,2,0.03,100,5,1.0,42,739,2021-12-31,2024-12-17,440,1178,38,0.05142083897158322,0.0020297496643747978,0.02558700423033376,0.014437748033071263,0.058078467520974085,183.52546029997757
