method,config_id,forecast_count,violation_count,violation_rate,nominal_violation_rate,calibration_distance,pinball_loss,average_var,minimum_var,maximum_var,calibration_leader,pinball_leader,lowest_average_var,source
historical_simulation,historical_w250,398,27,0.0678391959798995,0.05,0.017839195979899497,0.001896464232665977,0.021330189279201533,0.0170883852278305,0.0270201977469214,False,False,True,results/final_metric_comparison.csv
ewma,ewma_d094,398,22,0.05527638190954774,0.05,0.005276381909547739,0.0019683212526850112,0.025084042489536062,0.0140056564625239,0.0564466305776629,True,False,False,results/final_metric_comparison.csv
gradient_boosting,gb_G04,398,24,0.06030150753768844,0.05,0.010301507537688437,0.001758130950957487,0.023349057036283743,0.0137424730703311,0.0481390156210439,False,True,False,results/final_metric_comparison.csv
