comparison,left_method,right_method,observation_count,left_better_count,right_better_count,tie_count,left_better_share,mean_delta,median_delta,mean_absolute_delta,gross_left_improvement,gross_left_deterioration,net_total_delta,top_1_improvement_share,top_5_improvement_share,top_10_improvement_share,top_20_improvement_share,improvement_dates_to_50pct,improvement_dates_to_80pct,largest_left_improvement,largest_left_improvement_date,largest_left_deterioration,largest_left_deterioration_date
gb_vs_historical,gradient_boosting,historical_simulation,398,151,247,0,0.3793969849246231,-0.0001383332817084946,5.6170398504872546e-05,0.00042499143151716293,0.11210161793190584,0.057044971811925,-0.055056646119980845,0.12941695495126251,0.43702926250018564,0.6737838584336503,0.8654869424453767,7,16,0.0145078500378571,2025-04-09,0.0024806958065908,2026-06-08
gb_vs_ewma,gradient_boosting,ewma,398,231,167,0,0.5804020100502513,-0.00021019030172751563,-5.337995151596752e-05,0.00042034448092359615,0.12547642174757126,0.04182068166002002,-0.08365574008755122,0.0797619020013959,0.2971679665723018,0.45088710605034754,0.572149810977992,13,63,0.0100082380549156,2026-07-27,0.006281668812216,2025-04-09
ewma_vs_historical,ewma,historical_simulation,398,131,267,0,0.32914572864321606,7.185702001901683e-05,7.816404215534007e-05,0.0004916475751091204,0.08353832046293061,0.11213741443049931,0.028599093967568698,0.24886206395899788,0.6625171050098453,0.8732465823549195,0.909384321136447,3,8,0.0207895188500731,2025-04-09,0.0045107385939974,2026-07-20
