regime,method,observations,violation_count,violation_rate,pinball_loss,average_var,average_actual_return,calibration_distance,low_vol_threshold,high_vol_threshold
HIGH,ewma,109,3,0.027522935779816515,0.002297377146762718,0.03497029561883122,0.00263542891341982,0.022477064220183487,0.011557209241876592,0.016755354914816434
HIGH,gradient_boosting,109,5,0.045871559633027525,0.002112896189643852,0.028375694111671526,0.00263542891341982,0.004128440366972477,0.011557209241876592,0.016755354914816434
HIGH,historical_simulation,109,9,0.08256880733944955,0.0024113569071266923,0.022916785962659576,0.00263542891341982,0.03256880733944954,0.011557209241876592,0.016755354914816434
LOW,ewma,123,12,0.0975609756097561,0.0021803479788290846,0.019806542162244194,-0.0012665666034910171,0.0475609756097561,0.011557209241876592,0.016755354914816434
LOW,gradient_boosting,123,9,0.07317073170731707,0.0018299087259749435,0.020679725838749812,-0.0012665666034910171,0.023170731707317066,0.011557209241876592,0.016755354914816434
LOW,historical_simulation,123,9,0.07317073170731707,0.0019677427165552368,0.019644868955051128,-0.0012665666034910171,0.023170731707317066,0.011557209241876592,0.016755354914816434
NORMAL,ewma,166,7,0.04216867469879518,0.0015951502902139803,0.02250290362907659,-0.0014067230029352605,0.007831325301204825,0.011557209241876592,0.016755354914816434
NORMAL,gradient_boosting,166,10,0.060240963855421686,0.0014719979549095295,0.022026311831942796,-0.0014067230029352605,0.010240963855421684,0.011557209241876592,0.016755354914816434
NORMAL,historical_simulation,166,9,0.05421686746987952,0.0015055572746262354,0.02153714928747607,-0.0014067230029352605,0.004216867469879516,0.011557209241876592,0.016755354914816434
